"termine_inglese","italiano_preferito","dominio","trattamento","nota"
"Underdog Award","Premio dello sfavorito","punteggio","tradurre","Riconoscimento ottenuto sconfiggendo un avversario favorito"
"Martyr Kill","Uccisione postuma","punteggio","tradurre","Uccisione ottenuta dopo la propria morte"
"Training Drone","Drone d'addestramento","Arena Commander","tradurre","Avversario automatizzato usato per l'addestramento"
"Final Kill","Uccisione decisiva","modalità di gioco","tradurre","Uccisione richiesta dopo aver raggiunto il punteggio obiettivo"
"Killing Spree","Serie di uccisioni","punteggio","tradurre","Sequenza di uccisioni ottenute senza morire"
"Team Kill","Uccisione alleata","combattimento","tradurre","Eliminazione involontaria o volontaria di un alleato"
"Starting Tickets","Gettoni iniziali","modalità di gioco","tradurre","Riserva iniziale condivisa usata per gli ingressi in gioco"
"Blitz Race","Gara lampo","Arena Commander","tradurre","Corsa nella quale le armi si attivano in zone specifiche"
"Squad Token","Codice della formazione","servizi di sessione","tradurre","Codice tecnico di autorizzazione associato alla formazione"
"Mute All","Silenzia tutti","comunicazioni","tradurre","Disattiva l'audio vocale di tutti i partecipanti"
"Round","Turno","modalità di gioco","tradurre","Singola fase di una partita"
"Patch Notes","Note di aggiornamento","interfaccia","tradurre","Elenco delle modifiche introdotte da una versione"
"Dropship","Navetta da sbarco","veicoli spaziali","tradurre","Velivolo destinato a trasportare personale in una zona operativa"
"Radar Dish","Antenna radar","impianti","tradurre","Antenna parabolica di un sistema radar o di comunicazione"
"Close Call","Per un soffio","punteggio","tradurre","Bonus ottenuto completando un'azione in una situazione rischiosa"
"Kill Collected","Uccisione confermata","modalità di gioco","tradurre","Trofeo di un avversario eliminato raccolto con successo"
"Challenge Coin","Moneta commemorativa","ricompense","tradurre","Medaglia ricordo priva di valore monetario"
"Pledge Store","Negozio RSI","servizi RSI","tradurre","Negozio esterno per gli acquisti associati all'account"
"Capital Ship","Grande unità","veicoli spaziali","tradurre","Nave militare di grandi dimensioni; evitare il calco nave capitale"
"Sun's Eye Fellowship","Sun's Eye Fellowship","fazioni","mantenere","Nome proprio canonico dell'organizzazione religiosa del sistema Leir"
"Security Post","Avamposto di sicurezza","luoghi","tradurre","Struttura operativa delle forze di sicurezza"
"Speedway","Autodromo","corse","tradurre","Impianto o complesso di circuiti da gara"
"Grav-Lev","Levitazione gravitazionale","veicoli","espandere","Tecnologia di sostentamento dei veicoli terrestri"
"Mirror Match","Scontro speculare","modalità di gioco","tradurre","Duello con veicoli o condizioni equivalenti"
"Battle Royale","Battaglia totale","modalità di gioco","tradurre","Modalità tutti contro tutti con vittoria finale"
"Free Flight","Volo libero","Arena Commander","tradurre","Modalità priva di obiettivi obbligatori"
"Gun Rush","Corsa alle armi","Arena Commander","tradurre","Modalità con cambio d'arma a ogni uccisione"
